	stressed	pos	pros_repr	pros	file	vowel	nr_syll	start	end	nucl_dur	syll_dur	rms	int_peak	trajectory	f0_max	f0_mean	intersyllab	f0_meanST	f0_max_styl	spect_b1	spect_b2	spect_b3	nucl_dur_norm	syll_dur_norm	nucl_dur_vnorm	rms_norm	int_peak_norm	f0_max_norm	f0_mean_norm	f0_max_styl_norm	f0_meanST_norm	nucl_dur_left	nucl_dur_v_left	syll_dur_left	int_peak_left	rms_left	spect_b1_left	spect_b2_left	spect_b3_left	f0_max_left	f0_mean_left	f0_max_styl_left	f0_meanST_left	nucl_dur_right	nucl_dur_v_right	syll_dur_right	int_peak_right	rms_right	spect_b1_right	spect_b2_right	spect_b3_right	f0_max_right	f0_mean_right	f0_max_styl_right	f0_meanST_right
0	0	0	0	1	S2_LOC_2_1_cascade_2	{	2	0.2067913832199546	0.2867913832199547	0.08000000000000007	0.31	0.03200852656913417	65.7	0.0	190.0	174.0	0.0	89.4	173.0	58.31543383121078	61.600292212685844	54.67766334166606	0.5245901639344264	0.8857142857142858	0.46875224548257566	0.004688829373803577	2.1284163679092956	5.0	-11.0	-12.0	-1.0	-0.47540983606557363	-0.29433043184139596	-0.11428571428571421	1.0500000000000007	0.004688829373803575	1.0437034602154966	12.725427014830181	-0.5670892187511498	-6.0	-4.5	-14.5	-0.41499999999999915	-0.9508196721311473	-0.5886608636827919	-0.22857142857142854	2.1000000000000014	0.00937765874760715	2.0874069204309933	25.450854029660363	-1.1341784375022925	-12.0	-9.0	-29.0	-0.8299999999999983
1	1	1	1	1	S2_LOC_2_1_cascade_2	eI	2	0.4867913832199547	0.7117913832199548	0.22500000000000014	0.39	0.022630867821527022	63.6	4.3	202.0	183.0	2.53	90.23	202.0	56.22802691077979	36.14943818302548	55.811841779168354	1.4754098360655736	1.1142857142857143	1.0574131091653676	-0.004688829373803573	0.028416367909294138	17.0	-2.0	17.0	-0.1700000000000017	0.9508196721311473	0.5886608636827919	0.22857142857142854	-2.1000000000000014	-0.00937765874760715	-2.0874069204309933	-25.450854029660363	1.1341784375022925	12.0	9.0	29.0	0.8299999999999983	0.47540983606557363	0.29433043184139596	0.11428571428571432	-1.0500000000000007	-0.004688829373803575	-1.0437034602154966	-12.725427014830181	0.5670892187511427	6.0	4.5	14.5	0.41499999999999915
2	0	0	0	1	S2_LOC_3_2_burrito_1	3`	3	0.0760090702947845	0.2010090702947846	0.1250000000000001	0.2	0.03153004018722622	64.8	2.98	238.0	205.0	0.0	92.16	238.0	54.08508003780607	56.08578304832491	40.95210163479638	0.7731958762886597	0.983606557377049	0.619783268980607	0.003948211676261793	1.0391559290446182	40.0	7.0	40.0	0.6599999999999966	-0.22680412371134018	-0.1411219728332973	-0.01639344262295095	0.46666666666666623	0.00394821167626179	0.6228484945236517	4.590501655534204	-6.8996228259138945	27.666666666666664	12.666666666666668	35.333333333333336	1.1133333333333297	-0.030927835051546393	0.0643451727690324	0.29508196721311464	-0.29999999999999716	-0.0005296748322617256	4.588466590056399	9.898185696358091	-12.452038601286176	38.0	13.0	45.0	1.1199999999999903
3	1	1	1	1	S2_LOC_3_2_burrito_1	i:	3	0.2110090702947845	0.3410090702947846	0.13000000000000012	0.14	0.03205971501948795	65.1	0.0	200.0	192.0	-0.55	91.04	193.0	49.496613447749674	46.18759735196682	53.404140236082554	0.8041237113402061	0.6885245901639344	0.5554380962115746	0.004477886508523519	1.3391559290446153	2.0	-6.0	-5.0	-0.45999999999999375	0.030927835051546393	-0.0643451727690324	-0.29508196721311464	0.29999999999999716	0.0005296748322617256	-4.588466590056399	-9.898185696358091	12.452038601286176	-38.0	-13.0	-45.0	-1.1199999999999903	-0.6185567010309277	-0.5520562640379569	-0.6393442622950819	1.999999999999993	0.01290398469330882	-7.308387696541828	-6.024866426113597	4.205208724830676	7.0	12.0	16.0	1.1000000000000085
4	0	2	2	1	S2_LOC_3_2_burrito_1	@U	3	0.3810090702947845	0.6110090702947847	0.2300000000000002	0.27	0.019155730326179128	63.1	0.0	193.0	180.0	-1.44	89.94	177.0	56.8050011442915	52.21246377808042	49.19893151125188	1.4226804123711339	1.3278688524590163	1.1074943602495315	-0.008426098184785302	-0.6608440709553776	-5.0	-18.0	-21.0	-1.5600000000000023	0.6185567010309277	0.5520562640379569	0.6393442622950819	-1.999999999999993	-0.01290398469330882	7.308387696541828	6.024866426113597	-4.205208724830676	-7.0	-12.0	-16.0	-1.1000000000000085	0.42268041237113396	0.34658911843562723	0.3278688524590163	-1.2333333333333294	-0.008426098184785305	3.3427696010090813	0.7171823852897106	1.3472070505416056	-17.333333333333336	-12.333333333333332	-25.666666666666668	-1.1066666666666691
5	1	0	0	1	S4_LOC_3_3_cucumber_1	u:	3	0.2013378684807256	0.2613378684807256	0.06	0.17	0.012078695631005094	60.5	0.0	268.0	255.0	0.0	95.98	260.0	44.2343278206	33.590540052274676	38.767484330699844	0.692307692307692	0.8225806451612904	0.631863498419323	0.0009422446670744565	7.675890627810645	50.0	37.0	42.0	2.780000000000001	-0.30769230769230804	-0.3355345124992717	-0.17741935483870963	2.9333333333333327	0.000942244667074456	-3.646437704440686	-8.446970289037928	4.6439858348501915	37.0	38.333333333333336	38.0	2.9466666666666677	0.17307692307692313	-0.20486065912891793	-0.33870967741935465	4.399999999999999	-0.00046875435623943904	-6.441815992300498	-15.329598221543009	5.215918545008911	51.0	54.0	61.0	4.140000000000001
6	0	1	1	1	S4_LOC_3_3_cucumber_1	V	3	0.3813378684807256	0.4263378684807256	0.044999999999999984	0.24	0.012547449987244533	56.1	0.0	217.0	201.0	-4.62	91.84	199.0	50.6761438129005	48.920138273817685	33.55156578569093	0.5192307692307688	1.161290322580645	0.8367241575482409	0.0014109990233138955	3.2758906278106465	-1.0	-17.0	-19.0	-1.3599999999999994	-0.17307692307692313	0.20486065912891793	0.33870967741935465	-4.399999999999999	0.00046875435623943904	6.441815992300498	15.329598221543009	-5.215918545008911	-51.0	-54.0	-61.0	-4.140000000000001	-1.2692307692307705	-0.5968822192399792	0.14516129032258052	0.0	0.003764242713702246	1.9443188712789237	5.318285575972233	3.5001204145327307	9.0	7.0	-8.0	0.5600000000000023
7	0	2	2	1	S4_LOC_3_3_cucumber_1	3`	3	0.5563378684807256	0.7113378684807258	0.15500000000000014	0.21	0.008783207273542287	56.1	1.34	208.0	194.0	-0.58	91.28	207.0	48.731824941621575	43.60185269784545	30.051445371158202	1.7884615384615392	1.0161290322580645	1.4336063767882201	-0.0023532436903883503	3.2758906278106465	-10.0	-24.0	-11.0	-1.9200000000000017	1.2692307692307705	0.5968822192399792	-0.14516129032258052	0.0	-0.003764242713702246	-1.9443188712789237	-5.318285575972233	-3.5001204145327307	-9.0	-7.0	8.0	-0.5600000000000023	0.7884615384615392	0.46620836586962544	0.016129032258064502	-1.466666666666666	-0.0023532436903883507	0.8510594165808882	1.5643423565328476	-4.07205312469145	-23.0	-22.666666666666668	-15.0	-1.753333333333335
8	1	0	0	1	S4_LOC_3_3_newspaper_2	u:	3	0.1213832199546485	0.2013832199546486	0.08000000000000011	0.24	0.009890480521715076	55.6	0.0	255.0	251.0	0.0	95.67	251.0	46.10929488393764	26.632941816015176	37.815835152032754	0.7058823529411766	1.0434782608695652	0.6442529787804866	0.0015296783638182165	2.2768621403170073	66.0	62.0	62.0	4.969999999999999	-0.2941176470588234	-0.1572581678441295	0.04347826086956519	1.9333333333333347	0.0015296783638182162	2.952138157329969	-4.092880328445176	2.3192361672223853	58.333333333333336	63.333333333333336	63.666666666666664	6.0	-0.22058823529411775	-0.019740253004237096	0.13043478260869557	-0.5	-0.00021681174776647452	5.193958061008935	-1.349026616238156	-0.8220775456225837	33.0	49.0	51.0	3.769999999999996
9	0	1	1	1	S4_LOC_3_3_newspaper_2	eI	3	0.4113832199546485	0.5163832199546486	0.10500000000000015	0.21	0.01010729226948155	56.1	0.0	222.0	202.0	-3.88	91.9	200.0	40.91533682292871	27.981968432253332	38.63791269765534	0.9264705882352944	0.9130434782608696	0.6639932317847237	0.001746490111584691	2.7768621403170073	33.0	13.0	11.0	1.2000000000000028	0.22058823529411775	0.019740253004237096	-0.13043478260869557	0.5	0.00021681174776647452	-5.193958061008935	1.349026616238156	0.8220775456225837	-33.0	-49.0	-51.0	-3.769999999999996	-0.4411764705882346	-0.4322939975239144	-0.13043478260869557	6.800000000000004	0.005022658586987598	-1.5315016500279768	-9.580587752859216	8.601863592912323	109.0	92.0	89.0	10.460000000000008
